vid,sample_name,fid,exp,iou
r4NdM595K5c_40000_50000,r4NdM595K5c_40000_50000_flute_4,2,Adjacent to the guitar_the sounding object stood.,0
JgkUToh3HeY_49000_59000,JgkUToh3HeY_49000_59000_pipa_1,0,The pipa on the left of the sounding guzheng.,0
lcOP60uXMeI_20000_30000,lcOP60uXMeI_20000_30000_piano_1,6,The object making a sound by being played by the man on the left,0
PSoKYh3ea1o_60000_70000,PSoKYh3ea1o_60000_70000_clarinet_6,3,The sounding entity to the right of the flute.,0
8hr42lVW_gk_60000_70000,8hr42lVW_gk_60000_70000_clarinet_1,2,The clarinet in front of the man near the blackboard.,0
hYt2Qf438l8_40000_50000,hYt2Qf438l8_40000_50000_saxophone_4,1,The item with the briefest sound duration.,0
URZyjoh9lbc_500000_510000,URZyjoh9lbc_500000_510000_chair_2,1,The chair behind a woman.,0
JgkUToh3HeY_49000_59000,JgkUToh3HeY_49000_59000_pipa_5,0,The object being played by the man_generating sound.,0
mUN93MlvX64_42000_52000,mUN93MlvX64_42000_52000_piano_6,6,The object producing the lowest sound.,0
r4NdM595K5c_40000_50000,r4NdM595K5c_40000_50000_flute_3,2,The object making a sound by being played by the man in black.,0
7pNykt6zACc_275000_285000,7pNykt6zACc_275000_285000_chair_2,1,The chair sit by a woman wearing mask.,0
JgkUToh3HeY_49000_59000,JgkUToh3HeY_49000_59000_guzheng_5,3,The sounding entity to the right of the pipa.,0
PdHpl04tQV8_40000_50000,PdHpl04tQV8_40000_50000_marimba_4,1,The entity producing sound through being played by the man.,0
dVa49WwXzr8_481000_491000,dVa49WwXzr8_481000_491000_marimba_3,1,The sounding object on the left of the sounding harp.,0
lcOP60uXMeI_20000_30000,lcOP60uXMeI_20000_30000_piano_2,6,The sounding object near the man wearing the glasses,0
K3_JNw7Jqyw_70000_80000,K3_JNw7Jqyw_70000_80000_flute_1,0,The sounding object.,0
lcOP60uXMeI_198000_208000,lcOP60uXMeI_198000_208000_piano_5,4,The intermittent sound-producing object.,0
9scT0XNxmVw_330000_340000,9scT0XNxmVw_330000_340000_couch_6,1,The object beneath the sounding woman.,0
OPVEPq_r-vk_211000_221000,OPVEPq_r-vk_211000_221000_saxophone_2,1,The object making a sound by being played by the man.,0
CCFZT2_TJr0_15000_25000,CCFZT2_TJr0_15000_25000_clarinet_1,0,The object making the loudest sound.,0
OFgcrlxku9g_160000_170000,OFgcrlxku9g_160000_170000_saxophone_3,0,The sounding object on the right of the man on the right of the woman.,0
E8zQtjE2Q0M_105000_115000,E8zQtjE2Q0M_105000_115000_chair_2,5,The object on the left of the sounding handpan and with a handpan on it. ,0
dUcOkRkz6bA_387000_397000,dUcOkRkz6bA_387000_397000_man_4,6,The man positioned in the center.,0
URZyjoh9lbc_500000_510000,URZyjoh9lbc_500000_510000_chair_1,1,The chair.,0
PdHpl04tQV8_40000_50000,PdHpl04tQV8_40000_50000_marimba_5,1,The entity producing sound through being beaten with sticks.,0
4k63MOSjOBw_21000_31000,4k63MOSjOBw_21000_31000_violin_5,0,The object emitting sound subsequent to the piano.,0
Pe1LuVFTczE_358000_368000,Pe1LuVFTczE_358000_368000_pipa_1,3,The object making the fastest rhythm.,0
6WUjWMuoEhM_10000_20000,6WUjWMuoEhM_10000_20000_hair-dryer_3,0,The sounding object.,0
U1dZX1ReD88_48000_58000,U1dZX1ReD88_48000_58000_saxophone_3,1,The object making a sound by being played by the standing man.,0
oaYIWYXFMqY_70000_80000,oaYIWYXFMqY_70000_80000_bass_4,0,A man supported the bass guitar.,0
tMorLZku6Pc_194000_204000,tMorLZku6Pc_194000_204000_tabla_1,1,The sounding object on the left of the sitar.,0
5FYG_Wtet7U_120000_130000,5FYG_Wtet7U_120000_130000_violin_2,0,The object making the slowest rhythm.,0
mUN93MlvX64_42000_52000,mUN93MlvX64_42000_52000_piano_1,6,The sounding object on the right of the bassoon.,0
FHSoSamzdAY_845000_855000,FHSoSamzdAY_845000_855000_violin_1,0,The object making the loudest sound.,0
wdB0tV2egxE_260000_270000,wdB0tV2egxE_260000_270000_chair_6,3,The chair positioned on the far left.,0
lcOP60uXMeI_396000_406000,lcOP60uXMeI_396000_406000_piano_4,5,The instrument being played by the man on the left.,0
vifFbeL5rOo_9000_19000,vifFbeL5rOo_9000_19000_clarinet_5,0,To the right of the piano_the sounding object stood.,0
J_r9nOIoozw_133000_143000,J_r9nOIoozw_133000_143000_guitar_5,1,The object being played by the woman_generating sound.,0
9xp46AwF9BY_38000_48000,9xp46AwF9BY_38000_48000_piano_2,3,The object making the lowest sound.,0
LIUU1ZmIljc_270000_280000,LIUU1ZmIljc_270000_280000_marimba_6,5,The object being played by a standing woman.,0.0001051175656984
MFn93Sqq23g_10000_20000,MFn93Sqq23g_10000_20000_man_5,0,The bespectacled man near The source of the sound.,0.0001066315862399
dVa49WwXzr8_481000_491000,dVa49WwXzr8_481000_491000_marimba_2,1,The object making a sound by being beaten with sticks.,0.0001072449952335
8hr42lVW_gk_60000_70000,8hr42lVW_gk_60000_70000_man_1,1,The man in front of the blackboard.,0.0001104057410985
umOS1bOBa1U_1676000_1686000,umOS1bOBa1U_1676000_1686000_woman_4,2,The singing woman situated to the left of the sounding object.,0.0001114540466392
EQWvv8WbU04_22000_32000,EQWvv8WbU04_22000_32000_marimba_4,1,The object being played by the man_producing sound.,0.0001125534258647
ETmo71vP7tA_20000_30000,ETmo71vP7tA_20000_30000_piano_4,0,The object with the longest duration of sound.,0.0001145475372279
mUN93MlvX64_42000_52000,mUN93MlvX64_42000_52000_piano_4,6,The sounding object to the right of the bassoon.,0.0001294079585894
vOj00VJiBuk_10000_20000,vOj00VJiBuk_10000_20000_chair_5,5,Occupied by a woman_the chair emitted sound.,0.0001341823819088
LIUU1ZmIljc_270000_280000,LIUU1ZmIljc_270000_280000_marimba_4,5,The entity producing a faster rhythm than the piano.,0.0001415512873978
zPMUL7f4OOU_420000_430000,zPMUL7f4OOU_420000_430000_man_4,6,Played by the woman_the cello emitted sound.,0.0001540198920219
9ZQ-T83pfWk_65000_75000,9ZQ-T83pfWk_65000_75000_flute_2,2,The sounding flute.,0.0001688110229035
Pe1LuVFTczE_106000_116000,Pe1LuVFTczE_106000_116000_woman_1,1,woman.,0.0001731178519403
4HXvK9zcoyk_115000_125000,4HXvK9zcoyk_115000_125000_guitar_4,1,The entity emitting the lowest sound.,0.0001819848246805
79T0FclnIDw_0_10000,79T0FclnIDw_0_10000_boy_1,0,The object that making a sound before the woman.,0.0001828710758914
LIUU1ZmIljc_270000_280000,LIUU1ZmIljc_270000_280000_marimba_2,5,The object making the fastest rhythm.,0.0002094356160719
MFn93Sqq23g_10000_20000,MFn93Sqq23g_10000_20000_man_2,0,The wearing the glasses man near the sounding object.,0.0002159511306855
LIUU1ZmIljc_270000_280000,LIUU1ZmIljc_270000_280000_marimba_5,5,The entity with the swiftest rhythm.,0.0002170846989543
dRa7aBGnStU_82000_92000,dRa7aBGnStU_82000_92000_handpan_5,1,The object producing a longer duration of sound compared to the violin.,0.0002248875562218
W5yveLPTD04_211000_221000,W5yveLPTD04_211000_221000_saxophone_5,0,The object producing the loudest sound.,0.0002571765501677
4DCxlVTWN8g_3000_13000,4DCxlVTWN8g_3000_13000_guzheng_5,1,The entity manipulated by the standing woman.,0.0002631578947368
4DCxlVTWN8g_3000_13000,4DCxlVTWN8g_3000_13000_guzheng_4,1,The entity manipulated by the woman on the right.,0.0002633889376646
cmNI6jiMKik_46000_56000,cmNI6jiMKik_46000_56000_clarinet_4,0,The instrument played by the man_producing sound.,0.0002661208462442
JgkUToh3HeY_49000_59000,JgkUToh3HeY_49000_59000_pipa_4,0,The pipa to the left of the sounding guzheng.,0.000268279341591
wrdAEmNvEj4_831000_841000,wrdAEmNvEj4_831000_841000_cat_3,0,The sounding object near the car.,0.000278019113814
LIUU1ZmIljc_480000_490000,LIUU1ZmIljc_480000_490000_marimba_4,3,The entity producing the most intense sound.,0.0002852568110194
K3_JNw7Jqyw_70000_80000,K3_JNw7Jqyw_70000_80000_flute_5,0,The perpetually sounding entity.,0.0002944062806673
4HXvK9zcoyk_115000_125000,4HXvK9zcoyk_115000_125000_guitar_1,1,The object making the lowest sound.,0.0002944724504242
EnMdx6V5e6A_22000_32000,EnMdx6V5e6A_22000_32000_hair-dryer_6,0,The woman holding the hair-dryer.,0.0003020539669754
JgkUToh3HeY_49000_59000,JgkUToh3HeY_49000_59000_guzheng_2,3,The sounding object on the right of the pipa.,0.0003109259385411
9ZQ-T83pfWk_65000_75000,9ZQ-T83pfWk_65000_75000_flute_3,2,The object making a sound by being played by the woman.,0.0003225951209783
vOj00VJiBuk_10000_20000,vOj00VJiBuk_10000_20000_chair_1,5,The grey chair.,0.0003344580881799
W5yveLPTD04_211000_221000,W5yveLPTD04_211000_221000_saxophone_2,0,The object making the loudest sound.,0.0003373026594579
cmNI6jiMKik_46000_56000,cmNI6jiMKik_46000_56000_clarinet_3,0,The clarinet in front of the sounding piano.,0.000361606710719
4k63MOSjOBw_21000_31000,4k63MOSjOBw_21000_31000_violin_4,0,The violin being utilized for performance.,0.0003745318352059
4k63MOSjOBw_21000_31000,4k63MOSjOBw_21000_31000_violin_6,0,The entity with the swiftest tempo.,0.0003937007874015
cmNI6jiMKik_46000_56000,cmNI6jiMKik_46000_56000_clarinet_6,0,The clarinet positioned in front of the sounding piano.,0.0003990990761063
lcOP60uXMeI_396000_406000,lcOP60uXMeI_396000_406000_woman_4,3,The cello being played_emitting sound.,0.0004012841091492
oyi5pKPwz9Q_3000_13000,oyi5pKPwz9Q_3000_13000_violin_5,1,A standing boy cradled the violin.,0.0004076209700309
9ZQ-T83pfWk_65000_75000,9ZQ-T83pfWk_65000_75000_flute_6,2,The object being played by the woman.,0.00041604503435
E8zQtjE2Q0M_105000_115000,E8zQtjE2Q0M_105000_115000_handpan_1,0,The sounding object on the legs of the man on the left.,0.0004329075576545
cmNI6jiMKik_46000_56000,cmNI6jiMKik_46000_56000_clarinet_1,0,The object making a sound by bing played by the man.,0.0004355703107459
jj1UxRTBaNw_210000_220000,jj1UxRTBaNw_210000_220000_piano_4,0,The sounding object to the right of the guzheng.,0.0004552480038663
E8zQtjE2Q0M_105000_115000,E8zQtjE2Q0M_105000_115000_handpan_4,0,The sounding entity situated on the legs of the man on the left.,0.0004763547976705
EQWvv8WbU04_22000_32000,EQWvv8WbU04_22000_32000_marimba_5,1,The object being struck with sticks_emitting sound.,0.0004922863794153
45oaGY3mzlQ_5000_15000,45oaGY3mzlQ_5000_15000_cello_5,0,The entity emitting the lowest sound.,0.0005048805116122
xUQ9rDswHdw_140000_150000,xUQ9rDswHdw_140000_150000_guzheng_3,1,The sounding object on the right of the pipa.,0.0005090795729093
aBmzZJZ_M8Y_9000_19000,aBmzZJZ_M8Y_9000_19000_clarinet_6,1,The object being played by a standing man.,0.0005295626358571
LIUU1ZmIljc_480000_490000,LIUU1ZmIljc_480000_490000_marimba_5,3,The entity emitting a louder sound than the piano.,0.0005437987003964
CVA8LpBW3Sc_76000_86000,CVA8LpBW3Sc_76000_86000_cello_1,1,The first object to make a sound.,0.0005597788244165
2QAev97bk0c_75000_85000,2QAev97bk0c_75000_85000_woman_4,0,The entity producing sound via pipa play.,0.0005712311969293
eK12jfQSnRQ_90000_100000,eK12jfQSnRQ_90000_100000_cello_3,1,The sounding object on the left of the saxophone.,0.000584307178631
4DCxlVTWN8g_3000_13000,4DCxlVTWN8g_3000_13000_guzheng_2,1,The object making a sound by being played by the woman standing.,0.0006117669900247
4DCxlVTWN8g_3000_13000,4DCxlVTWN8g_3000_13000_guzheng_1,1,The object making a sound by being played by the woman on the right.,0.0006133586132154
FMx1BqhCDIk_90000_100000,FMx1BqhCDIk_90000_100000_couch_6,2,The object positioned behind the sounding man.,0.0006141505519415
aBmzZJZ_M8Y_9000_19000,aBmzZJZ_M8Y_9000_19000_clarinet_1,1,The clarinet.,0.0006282030087617
K3_JNw7Jqyw_70000_80000,K3_JNw7Jqyw_70000_80000_flute_4,0,The source of the sound.,0.0006403415154749
872Lwp3MOro_6000_16000,872Lwp3MOro_6000_16000_hair-dryer_1,1,The first object to make a sound.,0.0006610690283124
aBmzZJZ_M8Y_9000_19000,aBmzZJZ_M8Y_9000_19000_clarinet_5,1,The object being played by the man.,0.0006762491406142
JgkUToh3HeY_49000_59000,JgkUToh3HeY_49000_59000_pipa_3,0,The object making the shortest sound duration.,0.0007537617199314
umOS1bOBa1U_1676000_1686000,umOS1bOBa1U_1676000_1686000_woman_3,2,The first object to make a sound.,0.0007606872448065
aBmzZJZ_M8Y_9000_19000,aBmzZJZ_M8Y_9000_19000_clarinet_2,1,The object making a sound by being played by the man,0.0008035050990266
aBmzZJZ_M8Y_9000_19000,aBmzZJZ_M8Y_9000_19000_clarinet_3,1,The object making a sound by being played by a standing man.,0.0008172646437715
ZPYqUww_x6k_293000_303000,ZPYqUww_x6k_293000_303000_cello_3,1,The object making the lowest sound.,0.0008457455898789
pG1aSAUbf4I_150000_160000,pG1aSAUbf4I_150000_160000_handpan_5,0,A man in a black hat played the handpan.,0.0008639308855291
tMorLZku6Pc_194000_204000,tMorLZku6Pc_194000_204000_tabla_4,1,To the left of the sitar_the sounding object stood.,0.0008894767809104
vOj00VJiBuk_10000_20000,vOj00VJiBuk_10000_20000_chair_3,5,The object being seated by the girl on the right.,0.000941312395059
FMx1BqhCDIk_90000_100000,FMx1BqhCDIk_90000_100000_couch_2,2,The object behind the sounding being played by the man and on the right of the door.,0.0010441799142454
YAW2vMKV9pw_50000_60000,YAW2vMKV9pw_50000_60000_table_6,1,The object beneath the sounding keyboard.,0.0010505583564362
wrdAEmNvEj4_831000_841000,wrdAEmNvEj4_831000_841000_cat_1,0,The object keeping wagging its tail.,0.0010873440285204
pNV8MKNqOkI_20000_30000,pNV8MKNqOkI_20000_30000_guitar_1,2,The guitar being played by a man in gray shirt.,0.0010884831460674
JgkUToh3HeY_49000_59000,JgkUToh3HeY_49000_59000_guzheng_3,3,The object making longer sound duration than the pipa.,0.0011160180494674
ZPYqUww_x6k_293000_303000,ZPYqUww_x6k_293000_303000_cello_6,1,The object producing the lowest sound.,0.0011485294596639
ehlPuuiNEd8_376000_386000,ehlPuuiNEd8_376000_386000_pipa_1,1,The sounding object near the man on the far left.,0.0011637572734829
9scT0XNxmVw_330000_340000,9scT0XNxmVw_330000_340000_couch_1,1,The couch being sat on by the woman in green.,0.0011693778117049
9scT0XNxmVw_330000_340000,9scT0XNxmVw_330000_340000_couch_2,1,The object was sat by the speaking woman.,0.0011859065037814
FMx1BqhCDIk_90000_100000,FMx1BqhCDIk_90000_100000_couch_4,2,The couch occupied by a man.,0.0012080633125525
K3_JNw7Jqyw_70000_80000,K3_JNw7Jqyw_70000_80000_flute_2,0,The object that keeps making sound at all times.,0.0012428799820549
umOS1bOBa1U_1676000_1686000,umOS1bOBa1U_1676000_1686000_woman_6,2,The initial sounding object.,0.0012976393535093
FMx1BqhCDIk_90000_100000,FMx1BqhCDIk_90000_100000_couch_5,2,The object positioned behind the sounding object played by the man and to the right of the door.,0.0013833341971813
JgkUToh3HeY_49000_59000,JgkUToh3HeY_49000_59000_pipa_6,0,The object with the shortest sound duration.,0.0014336995991478
2wmxck5D9Vw_102000_112000,2wmxck5D9Vw_102000_112000_violin_3,0,The object making a sound by being played by the person on the left.,0.0015532135497272
45oaGY3mzlQ_5000_15000,45oaGY3mzlQ_5000_15000_cello_4,0,The entity following the violin in sound emission.,0.0016156176371592
EuU2PWB1t2g_20000_30000,EuU2PWB1t2g_20000_30000_piano_1,0,The sounding piano.,0.0016301505747485
LIUU1ZmIljc_270000_280000,LIUU1ZmIljc_270000_280000_marimba_1,5,The object making faster rhythm than the piano.,0.0016495644853793
OGCyzmaM_kE_10000_20000,OGCyzmaM_kE_10000_20000_flute_4,2,The entity producing sound through being played by the individual on the right.,0.0016685205784204
URZyjoh9lbc_560000_570000,URZyjoh9lbc_560000_570000_chair_4,1,The object with a white cushion on it.,0.001706075660409
YAW2vMKV9pw_50000_60000,YAW2vMKV9pw_50000_60000_table_3,1,The object under the sounding keyboard.,0.0017221719544323
OGCyzmaM_kE_10000_20000,OGCyzmaM_kE_10000_20000_flute_5,2,The entity producing sound through being played by the woman adorned in a white dress.,0.0017640573318632
OGCyzmaM_kE_10000_20000,OGCyzmaM_kE_10000_20000_flute_1,2,The object making a sound by being played by the person on the right.,0.0018619934282584
OGCyzmaM_kE_10000_20000,OGCyzmaM_kE_10000_20000_flute_6,2,The entity being held by the woman in white.,0.0018660812294182
OGCyzmaM_kE_10000_20000,OGCyzmaM_kE_10000_20000_flute_3,2,The object being held by the woman in white.,0.0018763796909492
jj1UxRTBaNw_210000_220000,jj1UxRTBaNw_210000_220000_guzheng_6,4,The instrument being played by the woman on the left_emitting sound.,0.0018813638307664
eK12jfQSnRQ_90000_100000,eK12jfQSnRQ_90000_100000_cello_6,1,The sounding object to the left of the saxophone.,0.0019429011187122
BRAQLY85x5U_75000_85000,BRAQLY85x5U_75000_85000_chair_1,9,The chair being sat on by the woman.,0.0019430954742808
OGCyzmaM_kE_10000_20000,OGCyzmaM_kE_10000_20000_flute_2,2,The object making a sound by being played by the woman wearing a white dress.,0.0019607843137254
URZyjoh9lbc_560000_570000,URZyjoh9lbc_560000_570000_chair_1,1,The object with a white cushion on it,0.0019875834614293
8cGUDi8c7a4_113000_123000,8cGUDi8c7a4_113000_123000_girl_6,0,The object emitting sound through vocalization and guitar play.,0.0020065218814411
lcOP60uXMeI_198000_208000,lcOP60uXMeI_198000_208000_woman_4,0,The cello being played_producing sound.,0.0020455608633995
DQ1ipAzV9Gk_380000_390000,DQ1ipAzV9Gk_380000_390000_boy_5,0,The object following the woman in sound emission.,0.0020593837678135
pNV8MKNqOkI_20000_30000,pNV8MKNqOkI_20000_30000_saxophone_6,0,Played by the man in the floral shirt_the instrument resounded.,0.0021300634661127
rozFJYWrLj0_120000_130000,rozFJYWrLj0_120000_130000_woman_6,1,The woman occupied the right side of a man.,0.0021410472037092
YAW2vMKV9pw_50000_60000,YAW2vMKV9pw_50000_60000_table_2,1,The yellow table.,0.0022177211098624
DQ1ipAzV9Gk_380000_390000,DQ1ipAzV9Gk_380000_390000_boy_4,0,The object emitting sound in response to women.,0.002238635081492
mqB05HNR03g_630000_640000,mqB05HNR03g_630000_640000_table_1,0,The table appearing through the entire video.,0.0022394043015756
MDyjY3uiWp0_354000_364000,MDyjY3uiWp0_354000_364000_saw_5,2,The object placed on the table.,0.0023302811060177
dRa7aBGnStU_82000_92000,dRa7aBGnStU_82000_92000_handpan_6,1,The initial sound-producing object.,0.0023988005997001
wrdAEmNvEj4_831000_841000,wrdAEmNvEj4_831000_841000_cat_4,0,The object continuously wagging its tail.,0.0024337558055099
E8zQtjE2Q0M_105000_115000,E8zQtjE2Q0M_105000_115000_handpan_6,0,The object being played by the man in brown_emitting sound.,0.0024427765083597
EzPcuNoSHMM_0_10000,EzPcuNoSHMM_0_10000_couch_6,1,The object positioned behind the sounding clock.,0.002498724404877
OMYuLiqSUxE_180000_190000,OMYuLiqSUxE_180000_190000_clarinet_4,0,The perpetually sounding object.,0.0025316455696202
zM7QopQ3MgI_499000_509000,zM7QopQ3MgI_499000_509000_tabla_2,1,The object making the fastest rhythm.,0.0026391476786013
umOS1bOBa1U_1676000_1686000,umOS1bOBa1U_1676000_1686000_woman_1,2,The singing woman on the left of the sounding object.,0.0027208890553696
UlYU9z7Y8jY_68000_78000,UlYU9z7Y8jY_68000_78000_marimba_2,1,The object that keeps making sound at all times.,0.00275794082852
EzPcuNoSHMM_0_10000,EzPcuNoSHMM_0_10000_couch_3,1,The object behind the sounding clock.,0.0027916711484948
9xp46AwF9BY_38000_48000,9xp46AwF9BY_38000_48000_violin_2,2,The object making the loudest sound.,0.0027916976349952
dRa7aBGnStU_82000_92000,dRa7aBGnStU_82000_92000_violin_1,0,The object making a sound by being played by the man on the right.,0.0028407070130528
ZR3vnlhJuSE_101000_111000,ZR3vnlhJuSE_101000_111000_bass_2,0,The sounding bass.,0.0029644268774703
CCFZT2_TJr0_15000_25000,CCFZT2_TJr0_15000_25000_piano_2,4,The object making slower rhythm than the clarinet.,0.0030251052549508
jj1UxRTBaNw_210000_220000,jj1UxRTBaNw_210000_220000_guzheng_5,4,The sounding object to the left of the piano.,0.0030514774423128
BRAQLY85x5U_75000_85000,BRAQLY85x5U_75000_85000_chair_4,9,The chair being occupied by the woman.,0.0030852249377537
OFgcrlxku9g_160000_170000,OFgcrlxku9g_160000_170000_saxophone_1,1,The object being held by the man on the left.,0.0031913433906741
EXjmfFyOAqA_30000_40000,EXjmfFyOAqA_30000_40000_flute_5,2,The object preceding the ukulele in sound emission.,0.0031947532944586
2wmxck5D9Vw_102000_112000,2wmxck5D9Vw_102000_112000_violin_4,0,The entity manipulated by the standing person.,0.0032036848457418
vOj00VJiBuk_80000_90000,vOj00VJiBuk_80000_90000_girl_1,0,girl.,0.0032257043496306
pf6ZpxTFL1Y_51000_61000,pf6ZpxTFL1Y_51000_61000_girl_5,0,Positioned behind the ukulele_the sounding object stood.,0.0032313772149048
EzPcuNoSHMM_0_10000,EzPcuNoSHMM_0_10000_couch_1,1,The brown couch.,0.0032832458907794
BRAQLY85x5U_75000_85000,BRAQLY85x5U_75000_85000_chair_3,9,the chair being sat on by a woman.,0.0033168565668134
w7vA5f0vPvQ_15000_25000,w7vA5f0vPvQ_15000_25000_flute_2,4,The object making a sound by being played by the person on the left.,0.00339450272238
EzPcuNoSHMM_0_10000,EzPcuNoSHMM_0_10000_couch_2,1,The couch behind a clock.,0.0034143685133791
2wmxck5D9Vw_102000_112000,2wmxck5D9Vw_102000_112000_violin_6,0,The entity manipulated by the person on the left.,0.0035412935108655
w7vA5f0vPvQ_15000_25000,w7vA5f0vPvQ_15000_25000_flute_1,4,The object making a sound by being played by the woman.,0.0036060179295728
sMsrz5VqchQ_130000_140000,sMsrz5VqchQ_130000_140000_piano_6,0,Near the woman_the sounding object stood.,0.0036094565127879
2wmxck5D9Vw_102000_112000,2wmxck5D9Vw_102000_112000_violin_5,0,The entity manipulated by the woman.,0.0037887809855383
TCcD-vOUtNc_99000_109000,TCcD-vOUtNc_99000_109000_harp_5,7,The object being played by the woman in the middle.,0.0038421288750729
eK12jfQSnRQ_90000_100000,eK12jfQSnRQ_90000_100000_cello_4,1,The instrument being played by the woman_generating sound.,0.0039533599902531
2wmxck5D9Vw_102000_112000,2wmxck5D9Vw_102000_112000_violin_1,0,The object making a sound by being played by the standing person.,0.0039731588347846
2wmxck5D9Vw_102000_112000,2wmxck5D9Vw_102000_112000_violin_2,0,The object making a sound by being played by the woman.,0.004010973418967
EzPcuNoSHMM_0_10000,EzPcuNoSHMM_0_10000_couch_5,1,The couch positioned behind a clock.,0.0040308152181173
BRAQLY85x5U_75000_85000,BRAQLY85x5U_75000_85000_chair_6,9,The chair being occupied by a woman.,0.0041904757641309
JStvWj9GKhQ_14000_24000,JStvWj9GKhQ_14000_24000_cello_3,0,The sounding object on the right of the violin.,0.0042561700600925
xUQ9rDswHdw_140000_150000,xUQ9rDswHdw_140000_150000_guzheng_5,1,Controlled by the first woman from the right_the object sounded.,0.0044051562155392
iSBtK1T10Ew_1065000_1075000,iSBtK1T10Ew_1065000_1075000_flute_2,0,The sounding object near the piano.,0.0045568295582058
OFgcrlxku9g_160000_170000,OFgcrlxku9g_160000_170000_saxophone_4,1,The entity being held by the man on the left.,0.0046680947801333
eK12jfQSnRQ_90000_100000,eK12jfQSnRQ_90000_100000_cello_5,1,The sounding item close to the woman.,0.0046786908071568
dRa7aBGnStU_82000_92000,dRa7aBGnStU_82000_92000_violin_4,0,The instrument being played by the man on the right_generating sound.,0.0048070110094699
zM7QopQ3MgI_499000_509000,zM7QopQ3MgI_499000_509000_tabla_3,1,The sounding object on the left of the sitar.,0.0048085305487527
JStvWj9GKhQ_14000_24000,JStvWj9GKhQ_14000_24000_cello_5,0,The object being played by the man_producing sound.,0.0048412252598695
EQWvv8WbU04_22000_32000,EQWvv8WbU04_22000_32000_marimba_2,1,The object making a sound by being beaten with sticks.,0.0048587245780772
UlYU9z7Y8jY_68000_78000,UlYU9z7Y8jY_68000_78000_marimba_5,1,The object that produces sound continuously.,0.0049044797517041
K3_JNw7Jqyw_70000_80000,K3_JNw7Jqyw_70000_80000_flute_6,0,The object emitting sound through being played by the man.,0.0049365053425485
ehlPuuiNEd8_376000_386000,ehlPuuiNEd8_376000_386000_pipa_3,1,The object being held by the person on the far left.,0.0050504555963552
xUQ9rDswHdw_140000_150000,xUQ9rDswHdw_140000_150000_guzheng_4,1,Controlled by the woman on the far right_the object sounded.,0.0052233856800179
tMorLZku6Pc_194000_204000,tMorLZku6Pc_194000_204000_tabla_5,1,Controlled by the man with long hair_the object sounded.,0.005237754977994
872Lwp3MOro_6000_16000,872Lwp3MOro_6000_16000_hair-dryer_6,1,The perpetual noise-emitting entity.,0.0052894192135776
ehlPuuiNEd8_376000_386000,ehlPuuiNEd8_376000_386000_pipa_6,1,The object being held by the far-left person.,0.0053287964583703
TCcD-vOUtNc_99000_109000,TCcD-vOUtNc_99000_109000_harp_2,7,The object making a sound by being played by the woman in the middle.,0.0054877338082193
CjQmcO_Q5d8_42000_52000,CjQmcO_Q5d8_42000_52000_piano_3,4,The sounding object behind the man.,0.0056529246601028
ZR3vnlhJuSE_101000_111000,ZR3vnlhJuSE_101000_111000_man_1,1,The object making a sound by playing the bass.,0.0057001033729952
5mj2JhPAUBg_180000_190000,5mj2JhPAUBg_180000_190000_handpan_5,1,The object being played by the man on the right.,0.0058236272878535
5mj2JhPAUBg_180000_190000,5mj2JhPAUBg_180000_190000_handpan_6,1,The object being played by the man wearing a hat.,0.0059701492537313
E8zQtjE2Q0M_105000_115000,E8zQtjE2Q0M_105000_115000_handpan_3,0,The object making a sound by being played by the man in brown.,0.0061376632885982
jj1UxRTBaNw_210000_220000,jj1UxRTBaNw_210000_220000_guzheng_3,4,The object making a sound by being played by the woman on the left.,0.0061871211503008
MFn93Sqq23g_10000_20000,MFn93Sqq23g_10000_20000_guitar_3,2,The bigger and brown guitar.,0.0063382454107195
K3_JNw7Jqyw_70000_80000,K3_JNw7Jqyw_70000_80000_flute_3,0,The object making a sound by being played by the man.,0.00635816411424
ds3RKnNB-cY_8000_18000,ds3RKnNB-cY_8000_18000_hair-dryer_1,0,The object that keeps making sound at all times.,0.0064516129032258
iSBtK1T10Ew_1065000_1075000,iSBtK1T10Ew_1065000_1075000_flute_6,0,The item held by the standing woman_creating sound.,0.0064737296523167
iSBtK1T10Ew_1065000_1075000,iSBtK1T10Ew_1065000_1075000_flute_5,0,The sounding object close to the piano.,0.0064956145421511
iSBtK1T10Ew_415000_425000,iSBtK1T10Ew_415000_425000_flute_3,2,The object making the loudest sound.,0.0065921643959772
iSBtK1T10Ew_1065000_1075000,iSBtK1T10Ew_1065000_1075000_flute_3,0,The object being held by the standing woman.,0.0066754453086953
ZU0JSxWk1Po_2000_12000,ZU0JSxWk1Po_2000_12000_guzheng_5,1,The sounding object to the right of the pipa.,0.0070257897559899
MDyjY3uiWp0_354000_364000,MDyjY3uiWp0_354000_364000_saw_2,2,The object put on the table.,0.0070782118953427
S_NJKy7Aoto_213000_223000,S_NJKy7Aoto_213000_223000_sitar_6,0,The object producing the loudest sound.,0.0073592506589249
iSBtK1T10Ew_1065000_1075000,iSBtK1T10Ew_1065000_1075000_flute_4,0,The instrument being played by the woman in white_emitting sound.,0.0073793562096004
Pe1LuVFTczE_358000_368000,Pe1LuVFTczE_358000_368000_pipa_6,3,The entity producing sound through being played by the woman.,0.0075296671646715
